id,Name,Map_Index,X,Y
"1",國際研究生教學研究大樓/幼稚園,"60",311858.315373881487176,2771187.393543533049524
"2",跨領域大樓,"8",311944.899156760307960,2770907.791278821416199
"3",細胞個體生物研究所,"4",311937.719038180133794,2770835.567733102943748
"4",國家動物中心,"7",311865.917852378101088,2770838.524252518545836
"5",生物醫學科學研究所,"2",312014.588542979909107,2770781.083303876686841
"6",分子生物研究所,"5",311934.340158848266583,2770737.580232479143888
"7",環安衛小組,"3",311845.222216470458079,2770741.803831643890589
"8",生物化學研究所,"6",311861.694253213296179,2770683.095803252886981
"9",生物體研究中心,"18",311991.358747573394794,2770611.294617450796068
"10",農業生物科技研究中心,"19",312051.756215630390216,2770682.673443336505443
"11",生物多樣性研究博物館,,312104.551205190655310,2770706.325598659459502
"12",中央研究院溫室,"27",311626.439779732667375,2770641.282171520870179
"13",植物分子育種溫室,"26",311763.706752589379903,2770646.350490518379956
"14",中國文哲研究所,"21",311783.980028580524959,2770563.145586971659213
"15",生物多樣性研究博物館,"11",312148.898996421310585,2770643.816331019625068
"16",動物房,,312039.930137968854979,2770569.480985718779266
"17",蔡元培紀念館,"14",311973.197271164623089,2770548.785349810961634
"18",統計所,"15",311941.942637344938703,2770509.083517661783844
"19",歸國學人宿舍,,311765.396192255313508,2770466.002806180622429
"20",人文社會科學館,"24",311699.508045284135733,2770458.400327683892101
"21",中央研究院活動中心,"20",311829.172539644176140,2770444.462450440041721
"22",中央研究院綜合體育館,"23",311897.594846114341635,2770402.648818708490580
"23",地球科學研究所,"22",311959.681753837212455,2770391.667460879776627
"24",環境變遷研究中心,"25",311955.035794755909592,2770353.655068396590650
"25",資訊科學研究所,"32",312031.060579722747207,2770462.201566932257265
"26",人文社會科學研究中心,"31",312080.476689951203298,2770481.630123090464622
"27",化學研究所,"30",312120.178522100497503,2770493.456200751941651
"28",資訊科技創新研究中心,"13",312104.551205190655310,2770566.102106387261301
"29",行政大樓,"10",312176.352390992688015,2770590.598981542978436
"30",郵局/福利社,"16",312212.675343810173217,2770645.928130602464080
"31",近史所檔案館,"42",312066.116452790796757,2770427.990413697436452
"32",嶺南美術館/歐美所,"41",312046.687896632647607,2770392.934540629386902
"33",近史所,"35",312129.048080346663482,2770392.512180713005364
"34",近代史研究所,"35",312147.631916671933141,2770408.984217456076294
"35",物理學研究所,"33",312255.333695374894887,2770461.356847099494189
"36",胡適紀念館,"34",312194.513867401459720,2770408.984217456076294
"37",經濟學研究所,"39",312282.364730029774364,2770380.263743135146797
"38",傅斯年圖書館,"38",312230.836820218944922,2770388.288581548258662
"39",臺灣考古館,"43",312188.178468654223252,2770362.946986559312791
"40",近代史研究所,"35",312127.358640680729877,2770363.369346475694329
"41",歐美所圖書館,"36",312076.253090786398388,2770307.617837500292808
"42",歐美研究所,"36",312122.290321682987269,2770303.394238335080445
"43",歷史語言研究所,"37",312181.420709990488831,2770308.462557333055884
"44",民族學研究所,"40",312259.134934623260051,2770267.916005350649357
"45",植物暨微生物學研究所,"12",312082.367880227335263,2770611.063724493607879
"46",環境變遷研究大樓,"28",311948.175998033490032,2770322.459265528712422
"47",中研院宿舍群,"50",312270.656685575668234,2770745.518213111907244
"48",院區大門,"1",312165.614116343669593,2770765.476301265880466
